Nombre,Partidos,Goles,Desde,Hasta
"Messi, Lionel",165,91,2005,
"Mascherano, Javier",147,3,2003,2018
"Zanetti, Javier",143,4,1994,2011
"Di María, Ángel",124,27,2008,
"Ayala, Roberto",116,7,1994,2007
"Simeone, Diego",108,11,1988,2002
"Agüero, Sergio",101,41,2006,2021
"Ruggeri, Oscar",97,7,1983,1994
"Romero, Sergio",96,-69,2009,2018
"Otamendi, Nicolás",93,4,2009,
"Maradona, Diego",91,34,1977,1994
"Ortega, Ariel",90,17,1993,2010
"Batistuta, Gabriel",78,56,1991,2002
"Sorín, Juan Pablo",76,12,1998,2006
"Tévez, Carlos",76,13,2004,2015
"Higuaín, Gonzalo",75,32,2009,2018
"Veron, Juan Sebastián",75,10,1996,2011
"Gallego, Américo",73,3,1975,1982
"Heinze, Gabriel",73,3,2003,2011
"Passarella, Daniel",70,23,1976,1986
"Banega, Éver",65,6,2008,2018
"Crespo, Hernán",64,35,1995,2008
"Ardiles, Osvaldo",63,8,1975,1982
"Gago, Fernando",61,0,2007,2017
"Rojo, Marcos",61,3,2011,2019
"Tarantini, Alberto",61,1,1974,1982
"Olgín, Jorge",60,0,1976,1982
"Sensini, Roberto",60,0,1987,2000
"Burruchaga, Jorge",59,13,1983,1990
"Biglia, Lucas",58,1,2011,2018
"Fillol, Ubaldo",58,-52,1974,1985
"López, Claudio Javier",58,14,1995,2003
"Zabaleta, Pablo",58,0,2005,2016
"Rodríguez, Maximiliano",57,16,2003,2015
"Samuel, Walter",57,5,1999,2011
"González, Cristian",56,10,1995,2005
"Houseman, René",55,13,1973,1979
"Aimar, Pablo",53,8,1999,2011
"Giusti, Ricardo",53,0,1983,1990
"Cambiasso, Esteban",52,5,2000,2011
"Demichelis, Martín",51,2,2005,2016
"Lavezzi, Ezequiel",51,10,2007,2016
"Riquelme, Juan Román",51,17,1997,2008
"Caniggia, Claudio",50,16,1987,2002
"Abbondanzieri, Roberto",49,-45,2004,2008
"Burdisso, Nicolás",49,2,2003,2011
"Brindisi, Miguel Ángel",46,17,1969,1974
"Paredes, Leandro",46,4,2017,
"Gallardo, Marcelo",45,16,1994,2003
"González, Luis",45,7,2003,2011
"Luque, Leopoldo",45,22,1975,1981
"Goycochea, Sergio",44,-39,1987,1994
"Salomón, José",44,0,1940,1946
"Acuña, Marcos",43,1,2016,
"Chamot, José",43,2,1993,2002
"Corbata, Orestes",43,18,1956,1962
"Kempes, Mario",43,20,1973,1982
"De Paul, Rodrigo",42,2,2018,
"Milito, Gabriel",42,1,2003,2011
"Roma, Antonio",42,-37,1956,1967
"Tagliafico, Nicolás",42,0,2017,
"Vivas, Nelson",42,1,1994,2003
"Garré, Oscar",41,0,1983,1988
"Vairo, Federico",41,1,1955,1958
"Valencia, José",41,5,1975,1982
"Almeyda, Matías",40,5,1996,2003
"Saviola, Javier",40,11,2000,2010
"Albrecht, Rafael",39,3,1963,1969
"Batista, Sergio",39,0,1985,1990
"Lo Celso, Giovani",39,2,2017,
"Martínez, Lautaro",39,21,2018,
"Burgos, Germán",38,-26,1995,2002
"Calomino, Pedro",38,5,1912,1924
"Coloccini, Fabricio",38,1,2003,2011
"Pumpido, Nery",38,-32,1983,1990
"Tesoriere, Américo",38,-32,1919,1925
"Balbo, Abel",37,11,1989,1998
"Guidi, Juan",37,0,1956,1961
"Labruna, Ángel",37,17,1942,1958
"Lombardo, Francisco",37,0,1952,1959
"López, Gustavo",37,4,1994,2003
"Más, Oscar",37,10,1965,1972
"Perfumo, Roberto",37,0,1966,1974
"Brown, José Luis",36,1,1983,1990
"Dellacha, Pedro",35,0,1953,1958
"Fischer, Rodolfo",35,12,1967,1972
"García, Enrique",35,9,1935,1943
"Sastre, Antonio",35,6,1935,1941
"Bidoglio, Ludovico",34,0,1921,1928
"Delgado, Marcelo",34,9,1995,2001