"nombre","año","comentario"
"alemania",2014,"campeon vs argentina"
"argentina",1986,"el mundial de la mano de dios. Último mundial ganado por Argentina. 3-2 la final vs Alemania"
"francia",2018,
"españa",2010,"Ganador, final ganada a holanda 1-0 en el alargue"
"italia",2006,"5-3 en los penales vs francia"
"brasil",2002,"El único en jugar todos los mundiales (22) y el mayor ganador de la historia (5)"
"inglaterra",1966,
"uruguay",1950,"Maracanazo ganando la final a Brasil"
"países bajos",1978,"final vs argentina"
"suecia",1994,
"belgica",2018,"3er puesto, mejor resultado"
"urss",1966,"4to lugar mejor resultado, Lev Yashin el mejor arquero de la historia"
"yugoslavia",1962,"participó como yugoslavia, serbia y montenegro, serbia"
"mexico",1970,"maximo organizador (3 veces organizador 1970, 1986, 2026)"
"polonia",1982,
"portugal",1966,"Mejor resultado 3er lugar. goleador del mundial: Eusebio 9 goles"
"hungría",1954,"Mayor cantidad de goles en un solo mundial (27)"
"suiza",1994,
"checoslovaquia",1962,"Hoy republica checa"
"austria",1998,
"chile",1962,"organizador, 3er lugar mejor resultado"
"croacia",2018,"subcampeon, mejor resultado. No existía hasta 1998"
"dinamarca",2002,
"paraguay",2010,
"colombia",1990,
"estados unidos",1930,"3er lugar"
"rumania",1994,
"corea del sur",2002,"organizador, 4to puesto"
"nigeria",1998,
"japon",2006,
"costa rica",2014,"cuartos de final, mejor resultado"
"escocia",1974,
"camerun",1990,"Camerún 1 - 0 argentina en fase de grupos"
"peru",1970,
"bulgaria",1994,"cuarto puesto, mejor resultado"
"turquia",2002,"3er puesto"
"ghana",2010,
"irlanda",2002,"jugó 3 mundiales, siempre pasó fase de grupos"
"ecuador",2006,
"senegal",2002,
"argelia",1982,
"marruecos",1958,"Just Fontaine mayor goleador en un mundial (13)"
"arabia",1994,
"costa de marfil",2006,
"sudafrica",2010,"Prganizador, primer mundial en país africano"
"tunez",1978,
"iran",2014,
"australia",2006,
"noruega",1994,
"grecia",2014,
"ucrania",2006,"unico mundial que jugó, llegó a cuartos de final"
"gales",2022,"cábala la forma en que se sacan la foto de equipo"
"cuba",1938,"unico mundial que jugó"
"jamaica",1998,
"nueva zelanda",1982,
"honduras",1982,
"angola",2006,
"israel",1970,"Único mundial que jugó"
"egipto",2018,
"islandia",2018,"empate con argentina en fase de grupos"
"trinidad y tobago",2006,
"bolivia",1994,
"irak",1986,
"togo",2006,
"canada",1986,
"panama",2018,
"china",2002,
"haiti",1974,
"el salvador",1978,
"qatar",2022,
"indonesia",1938,"Participó con el nombre de Indias Orientales Neerlandesas"
"emiratos arabes",1990,